ts,pool,name,tier,price,vol_1h,baseline,multiple,buyer_base,buyer_mult,turnover,chg_1h,liquidity,mcap,buyers,sellers,age_days,fired
2026-08-19T14:00:19+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0030415033251429925,108013.482822065,29931.477013074797,3.6,,,0.5634,-9.446,375159.3196,2974970.00944861,170,128,1.8,0
2026-08-19T14:54:51+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,930.6507385893896,526791.257724974,19437.320365413918,27.1,,,0.5551,0.663,3989673.2844,6207364.39279152,20,23,58.0,0
2026-08-19T14:54:51+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0027317005305128347,94658.8731131123,29931.477013074797,3.2,,,0.6466,-12.33,388616.5476,2671957.00360347,90,98,1.8,0
2026-08-19T14:54:51+00:00,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET / SOL,A,0.0011481202109818933,93051.8244470998,35206.25789098566,2.6,50,,0.752,-16.296,208888.9479,1139638.203,127,113,12.6,0
2026-08-19T14:54:51+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0013524902549393943,32912.4192108116,7333.34070622648,4.5,127,,0.8174,3.183,136012.8533,1352490.255,102,113,9.7,0
2026-08-19T15:38:01+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,934.1515575470496,140818.137817494,19437.320365413918,7.2,9.5,,0.5416,-0.423,4053649.0257,6246567.88414409,8,17,58.1,0
2026-08-19T15:38:01+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0013962927608196691,66112.1185325567,7333.34070622648,9.0,124.5,,0.7897,8.059,141594.9312,1396292.761,145,161,9.7,0
2026-08-19T15:38:01+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0027370597423848012,64604.4913700882,29931.477013074797,2.2,,,0.6541,-5.828,374212.4035,2677198.96321535,84,78,1.9,0
2026-08-19T16:04:29+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,937.8566887381662,124149.011062097,19437.320365413918,6.4,8,,0.547,1.005,4013743.5909,6271343.67866413,9,12,58.1,0
2026-08-19T16:04:29+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0023352295401645523,103405.877311775,29931.477013074797,3.5,,,0.792,-16.875,368085.2159,2284156.97597801,123,87,1.9,0
2026-08-19T16:04:29+00:00,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET / SOL,A,0.0014082550188927892,101895.991766992,35206.25789098566,2.9,54,,0.6294,19.814,215067.3374,1412472.229,101,105,12.7,0
2026-08-19T16:04:29+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0012743239527273312,60283.1700315293,7333.34070622648,8.2,127,,0.8495,-3.341,134875.222,1278692.82,196,152,9.7,0
2026-08-19T16:48:39+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0013327870511847249,57671.6795267327,7333.34070622648,7.9,130.0,,0.7887,0.497,136339.8741,1332787.051,188,146,9.8,0
2026-08-19T16:48:39+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,941.7749810009301,72416.3998003154,19437.320365413918,3.7,8.5,,0.5456,0.604,4017369.7628,6297544.86452537,8,11,58.1,0
2026-08-19T16:48:39+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.002837655010652736,87154.5029030201,29931.477013074797,2.9,,,0.6562,10.033,363738.6771,2776901.74086554,143,89,1.9,0
2026-08-19T16:48:39+00:00,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET / SOL,A,0.0013324223481109081,108539.327431871,35206.25789098566,3.1,55.5,,0.658,1.542,213105.138,1332422.348,93,134,12.7,0
2026-08-19T17:32:17+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,930.2820653915811,78988.1246060597,19437.320365413918,4.1,8,,0.553,-1.01,3982535.4951,6233779.11614652,6,13,58.1,0
2026-08-19T17:32:17+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.002521838734809585,66655.7914148927,29931.477013074797,2.2,104.5,,0.7467,0.445,345064.3771,2466740.15820061,106,113,1.9,0
2026-08-19T17:32:17+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0012396967866567762,25991.1788334162,7333.34070622648,3.5,133,,0.8311,-4.948,131051.3457,1239696.787,89,140,9.8,0
2026-08-19T18:01:19+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,932.2950311177165,67674.3358440136,19437.320365413918,3.5,8.0,,0.5515,-0.614,3993410.6982,6247267.91075162,4,11,58.2,0
2026-08-19T18:01:19+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0013550781273851597,36628.0178717653,7333.34070622648,5.0,130.0,,0.75,4.658,139405.0442,1366160.564,126,122,9.8,0
2026-08-19T18:01:19+00:00,3vzCDcWV1gWExDYtd2YGtoAD1wvMNv9ceiGzFs7ZrnpM,BULLSHIT / SOL,A,0.0026402925046169986,66692.4025804252,29931.477013074797,2.2,106,,0.7226,-2.654,346475.9596,2582548.03249393,81,112,2.0,0
2026-08-19T18:55:33+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,932.8923713716687,112628.63828299,19437.320365413918,5.8,8,,0.5574,0.078,4000553.654,6251270.66146471,8,9,58.2,0
2026-08-19T18:55:33+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0013509396994277035,36715.9728744555,7333.34070622648,5.0,127,,0.7451,5.451,139134.761,1352050.866,96,165,9.9,0
2026-08-19T19:32:27+00:00,13MEx6gjRadJNUdmToaGSzgeWHLH7FzScUQS9Mc5nYF5,MU / USDC,A,937.9060875918119,55582.9899195443,19437.320365413918,2.9,8.0,,0.5524,0.985,4004811.0079,6286753.29724068,8,0,58.2,0
2026-08-19T19:32:27+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0014625217973016796,15028.0791508619,7333.34070622648,2.0,126.5,,0.6753,4.77,143352.8389,1462521.797,42,99,9.9,0
